,datetime,home_goal,away_goal,league_name,league_abbr,team,opponent,avg_goal
0,02/03,1,2,Argentina,AR,Boca Juniors,T. de Cordoba,-1
1,02/09,2,0,Argentina,AR,Boca Juniors,Atl. Tucuman,2
2,02/17,0,4,Argentina,AR,Boca Juniors,Central Córdoba,-4
3,02/23,3,0,Argentina,AR,Boca Juniors,Godoy Cruz,3
4,02/29,0,4,Argentina,AR,Boca Juniors,Colon,-4
5,03/08,1,0,Argentina,AR,Boca Juniors,Gimnasia,1
6,02/02,2,0,Argentina,AR,River Plate,Central Córdoba,2
7,02/10,1,2,Argentina,AR,River Plate,Union Santa Fe,-1
8,02/16,1,0,Argentina,AR,River Plate,Banfield,1
9,02/24,0,2,Argentina,AR,River Plate,Estudiantes,-2
10,02/29,1,1,Argentina,AR,River Plate,Defensa y J.,0
11,03/08,1,1,Argentina,AR,River Plate,Atl. Tucuman,0
12,01/31,1,1,Argentina,AR,Velez Sarsfield,Aldosivi,0
13,02/09,1,0,Argentina,AR,Velez Sarsfield,San Lorenzo,1
14,02/23,0,4,Argentina,AR,Velez Sarsfield,Arsenal Sarandi,-4
15,03/02,2,0,Argentina,AR,Velez Sarsfield,Argentinos Jrs,2
16,03/04,0,1,Argentina,AR,Velez Sarsfield,Godoy Cruz,-1
17,03/09,0,3,Argentina,AR,Velez Sarsfield,Union Santa Fe,-3
18,02/02,1,1,Argentina,AR,Racing Club,Argentinos Jrs,0
19,02/09,1,0,Argentina,AR,Racing Club,Independiente,1
20,02/15,1,1,Argentina,AR,Racing Club,Colon,0
21,02/22,0,1,Argentina,AR,Racing Club,San Lorenzo,-1
22,02/28,1,1,Argentina,AR,Racing Club,Newells,0
23,03/10,1,2,Argentina,AR,Racing Club,Estudiantes,-1
24,02/02,1,1,Argentina,AR,Argentinos Jrs,Racing Club,0
25,02/08,0,0,Argentina,AR,Argentinos Jrs,Lanus,0
26,02/15,0,2,Argentina,AR,Argentinos Jrs,Atl. Tucuman,-2
27,02/22,1,1,Argentina,AR,Argentinos Jrs,Patronato,0
28,03/02,2,0,Argentina,AR,Argentinos Jrs,Velez Sarsfield,2
29,03/07,2,1,Argentina,AR,Argentinos Jrs,Rosario,1
30,02/01,1,1,Argentina,AR,Defensa y J.,Atl. Tucuman,0
31,02/08,0,0,Argentina,AR,Defensa y J.,Colon,0
32,02/17,1,2,Argentina,AR,Defensa y J.,Estudiantes,-1
33,02/24,3,0,Argentina,AR,Defensa y J.,Rosario,3
34,02/29,1,1,Argentina,AR,Defensa y J.,River Plate,0
35,03/07,2,0,Argentina,AR,Defensa y J.,Patronato,2
36,02/02,2,0,Argentina,AR,Lanus,Godoy Cruz,2
37,02/08,0,0,Argentina,AR,Lanus,Argentinos Jrs,0
38,02/16,1,1,Argentina,AR,Lanus,Newells,0
39,02/23,2,2,Argentina,AR,Lanus,Atl. Tucuman,0
40,03/01,1,1,Argentina,AR,Lanus,Estudiantes,0
41,03/08,4,3,Argentina,AR,Lanus,San Lorenzo,1
42,02/04,1,0,Argentina,AR,San Lorenzo,Newells,1
43,02/09,1,0,Argentina,AR,San Lorenzo,Velez Sarsfield,1
44,02/16,1,0,Argentina,AR,San Lorenzo,T. de Cordoba,1
45,02/22,0,1,Argentina,AR,San Lorenzo,Racing Club,-1
46,03/01,1,3,Argentina,AR,San Lorenzo,Aldosivi,-2
47,03/08,4,3,Argentina,AR,San Lorenzo,Lanus,1
48,02/01,5,0,Argentina,AR,Rosario,Independiente,5
49,02/08,1,1,Argentina,AR,Rosario,Banfield,0
50,02/15,1,0,Argentina,AR,Rosario,Gimnasia,1
51,02/24,3,0,Argentina,AR,Rosario,Defensa y J.,3
52,03/01,3,1,Argentina,AR,Rosario,Arsenal Sarandi,2
53,03/07,2,1,Argentina,AR,Rosario,Argentinos Jrs,1
54,02/04,1,0,Argentina,AR,Newells,San Lorenzo,1
55,02/08,0,0,Argentina,AR,Newells,Estudiantes,0
56,02/16,1,1,Argentina,AR,Newells,Lanus,0
57,02/23,4,0,Argentina,AR,Newells,Colon,4
58,02/28,1,1,Argentina,AR,Newells,Racing Club,0
59,03/09,0,2,Argentina,AR,Newells,Godoy Cruz,-2
60,02/03,2,2,Argentina,AR,Arsenal Sarandi,Patronato,0
61,02/10,1,1,Argentina,AR,Arsenal Sarandi,T. de Cordoba,0
62,02/18,1,1,Argentina,AR,Arsenal Sarandi,Independiente,0
63,02/23,0,4,Argentina,AR,Arsenal Sarandi,Velez Sarsfield,-4
64,03/01,3,1,Argentina,AR,Arsenal Sarandi,Rosario,2
65,03/06,4,0,Argentina,AR,Arsenal Sarandi,Aldosivi,4
66,02/03,1,2,Argentina,AR,T. de Cordoba,Boca Juniors,-1
67,02/10,1,1,Argentina,AR,T. de Cordoba,Arsenal Sarandi,0
68,02/16,1,0,Argentina,AR,T. de Cordoba,San Lorenzo,1
69,02/25,4,2,Argentina,AR,T. de Cordoba,Huracan,2
70,03/02,3,2,Argentina,AR,T. de Cordoba,Patronato,1
71,03/09,2,0,Argentina,AR,T. de Cordoba,Colon,2
72,02/01,3,1,Argentina,AR,Estudiantes,Union Santa Fe,2
73,02/08,0,0,Argentina,AR,Estudiantes,Newells,0
74,02/17,1,2,Argentina,AR,Estudiantes,Defensa y J.,-1
75,02/24,0,2,Argentina,AR,Estudiantes,River Plate,-2
76,03/01,1,1,Argentina,AR,Estudiantes,Lanus,0
77,03/10,1,2,Argentina,AR,Estudiantes,Racing Club,-1
78,02/01,5,0,Argentina,AR,Independiente,Rosario,5
79,02/09,1,0,Argentina,AR,Independiente,Racing Club,1
80,02/18,1,1,Argentina,AR,Independiente,Arsenal Sarandi,0
81,02/22,0,1,Argentina,AR,Independiente,Gimnasia,-1
82,03/03,1,0,Argentina,AR,Independiente,Huracan,1
83,03/08,3,0,Argentina,AR,Independiente,Central Córdoba,3
84,02/01,1,1,Argentina,AR,Atl. Tucuman,Defensa y J.,0
85,02/09,2,0,Argentina,AR,Atl. Tucuman,Boca Juniors,2
86,02/15,0,2,Argentina,AR,Atl. Tucuman,Argentinos Jrs,-2
87,02/23,2,2,Argentina,AR,Atl. Tucuman,Lanus,0
88,02/29,1,0,Argentina,AR,Atl. Tucuman,Gimnasia,1
89,03/08,1,1,Argentina,AR,Atl. Tucuman,River Plate,0
90,02/01,3,1,Argentina,AR,Union Santa Fe,Estudiantes,2
91,02/10,1,2,Argentina,AR,Union Santa Fe,River Plate,-1
92,02/14,1,0,Argentina,AR,Union Santa Fe,Patronato,1
93,02/25,0,0,Argentina,AR,Union Santa Fe,Central Córdoba,0
94,03/01,1,3,Argentina,AR,Union Santa Fe,Godoy Cruz,-2
95,03/09,0,3,Argentina,AR,Union Santa Fe,Velez Sarsfield,-3
96,02/02,0,1,Argentina,AR,Banfield,Colon,-1
97,02/08,1,1,Argentina,AR,Banfield,Rosario,0
98,02/16,1,0,Argentina,AR,Banfield,River Plate,1
99,02/21,0,1,Argentina,AR,Banfield,Aldosivi,-1
100,03/01,1,1,Argentina,AR,Banfield,Central Córdoba,0
101,03/07,0,3,Argentina,AR,Banfield,Huracan,-3
102,02/02,2,0,Argentina,AR,Central Córdoba,River Plate,2
103,02/07,0,2,Argentina,AR,Central Córdoba,Aldosivi,-2
104,02/17,0,4,Argentina,AR,Central Córdoba,Boca Juniors,-4
105,02/25,0,0,Argentina,AR,Central Córdoba,Union Santa Fe,0
106,03/01,1,1,Argentina,AR,Central Córdoba,Banfield,0
107,03/08,3,0,Argentina,AR,Central Córdoba,Independiente,3
108,02/01,1,1,Argentina,AR,Gimnasia,Huracan,0
109,02/08,1,1,Argentina,AR,Gimnasia,Patronato,0
110,02/15,1,0,Argentina,AR,Gimnasia,Rosario,1
111,02/22,0,1,Argentina,AR,Gimnasia,Independiente,-1
112,02/29,1,0,Argentina,AR,Gimnasia,Atl. Tucuman,1
113,03/08,1,0,Argentina,AR,Gimnasia,Boca Juniors,1
114,02/03,2,2,Argentina,AR,Patronato,Arsenal Sarandi,0
115,02/08,1,1,Argentina,AR,Patronato,Gimnasia,0
116,02/14,1,0,Argentina,AR,Patronato,Union Santa Fe,1
117,02/22,1,1,Argentina,AR,Patronato,Argentinos Jrs,0
118,03/02,3,2,Argentina,AR,Patronato,T. de Cordoba,1
119,03/07,2,0,Argentina,AR,Patronato,Defensa y J.,2
120,02/01,1,1,Argentina,AR,Huracan,Gimnasia,0
121,02/11,2,1,Argentina,AR,Huracan,Godoy Cruz,1
122,02/15,0,2,Argentina,AR,Huracan,Aldosivi,-2
123,02/25,4,2,Argentina,AR,Huracan,T. de Cordoba,2
124,03/03,1,0,Argentina,AR,Huracan,Independiente,1
125,03/07,0,3,Argentina,AR,Huracan,Banfield,-3
126,01/31,1,1,Argentina,AR,Aldosivi,Velez Sarsfield,0
127,02/07,0,2,Argentina,AR,Aldosivi,Central Córdoba,-2
128,02/15,0,2,Argentina,AR,Aldosivi,Huracan,-2
129,02/21,0,1,Argentina,AR,Aldosivi,Banfield,-1
130,03/01,1,3,Argentina,AR,Aldosivi,San Lorenzo,-2
131,03/06,4,0,Argentina,AR,Aldosivi,Arsenal Sarandi,4
132,02/02,0,1,Argentina,AR,Colon,Banfield,-1
133,02/08,0,0,Argentina,AR,Colon,Defensa y J.,0
134,02/15,1,1,Argentina,AR,Colon,Racing Club,0
135,02/23,4,0,Argentina,AR,Colon,Newells,4
136,02/29,0,4,Argentina,AR,Colon,Boca Juniors,-4
137,03/09,2,0,Argentina,AR,Colon,T. de Cordoba,2
138,02/02,2,0,Argentina,AR,Godoy Cruz,Lanus,2
139,02/11,2,1,Argentina,AR,Godoy Cruz,Huracan,1
140,02/23,3,0,Argentina,AR,Godoy Cruz,Boca Juniors,3
141,03/01,1,3,Argentina,AR,Godoy Cruz,Union Santa Fe,-2
142,03/04,0,1,Argentina,AR,Godoy Cruz,Velez Sarsfield,-1
143,03/09,0,2,Argentina,AR,Godoy Cruz,Newells,-2
144,09/13,1,3,Austria,AT,Salzburg,Wolfsberger AC,-2
145,09/19,4,1,Austria,AT,Salzburg,R. Altach,3
146,09/26,1,3,Austria,AT,Salzburg,Ried,-2
147,10/04,7,1,Austria,AT,Salzburg,Hartberg,6
